adid,idx
90,0
1101,1
1201,2
1301,3
1302,4
1303,5
1304,6
1305,7
1306,8
1307,9
1308,10
1309,11
1310,12
1311,13
1401,14
1402,15
1403,16
1404,17
1405,18
1406,19
1407,20
1408,21
1409,22
1410,23
1411,24
1501,25
1502,26
1503,27
1504,28
1505,29
1506,30
1507,31
1508,32
1509,33
1522,34
1525,35
1529,36
2101,37
2102,38
2103,39
2104,40
2105,41
2106,42
2107,43
2108,44
2109,45
2110,46
2111,47
2112,48
2113,49
2114,50
2201,51
2202,52
2203,53
2204,54
2205,55
2206,56
2207,57
2208,58
2224,59
2301,60
2302,61
2303,62
2304,63
2305,64
2306,65
2307,66
2308,67
2309,68
2310,69
2311,70
2312,71
2327,72
3101,73
3201,74
3202,75
3203,76
3204,77
3205,78
3206,79
3207,80
3208,81
3209,82
3210,83
3211,84
3212,85
3213,86
3301,87
3302,88
3303,89
3304,90
3305,91
3306,92
3307,93
3308,94
3309,95
3310,96
3311,97
3401,98
3402,99
3403,100
3404,101
3405,102
3406,103
3407,104
3408,105
3410,106
3411,107
3412,108
3413,109
3415,110
3416,111
3417,112
3418,113
3501,114
3502,115
3503,116
3504,117
3505,118
3506,119
3507,120
3508,121
3509,122
3601,123
3602,124
3603,125
3604,126
3605,127
3606,128
3607,129
3608,130
3609,131
3610,132
3611,133
3701,134
3702,135
3703,136
3704,137
3705,138
3706,139
3707,140
3708,141
3709,142
3710,143
3711,144
3713,145
3714,146
3715,147
3716,148
3717,149
4101,150
4102,151
4103,152
4104,153
4105,154
4106,155
4107,156
4108,157
4109,158
4110,159
4111,160
4112,161
4113,162
4114,163
4115,164
4116,165
4117,166
4201,167
4202,168
4203,169
4205,170
4206,171
4207,172
4208,173
4209,174
4210,175
4211,176
4212,177
4213,178
4228,179
4290,180
4301,181
4302,182
4303,183
4304,184
4305,185
4306,186
4307,187
4308,188
4309,189
4310,190
4311,191
4312,192
4313,193
4331,194
4401,195
4402,196
4403,197
4404,198
4405,199
4406,200
4407,201
4408,202
4409,203
4412,204
4413,205
4414,206
4415,207
4416,208
4417,209
4418,210
4419,211
4420,212
4451,213
4452,214
4453,215
4501,216
4502,217
4503,218
4504,219
4505,220
4506,221
4507,222
4508,223
4509,224
4510,225
4511,226
4512,227
4513,228
4514,229
4601,230
4602,231
4690,232
5000,233
5101,234
5103,235
5104,236
5105,237
5106,238
5107,239
5108,240
5109,241
5110,242
5111,243
5113,244
5114,245
5115,246
5116,247
5117,248
5118,249
5119,250
5120,251
5132,252
5133,253
5134,254
5201,255
5202,256
5203,257
5204,258
5205,259
5206,260
5223,261
5226,262
5227,263
5301,264
5303,265
5304,266
5305,267
5306,268
5307,269
5308,270
5309,271
5323,272
5325,273
5326,274
5328,275
5329,276
5331,277
5333,278
5334,279
5401,280
5402,281
5403,282
5404,283
5405,284
5406,285
5425,286
6101,287
6102,288
6103,289
6104,290
6105,291
6106,292
6107,293
6108,294
6109,295
6110,296
6201,297
6202,298
6203,299
6204,300
6205,301
6206,302
6207,303
6208,304
6209,305
6210,306
6211,307
6212,308
6229,309
6230,310
6301,311
6302,312
6322,313
6323,314
6325,315
6326,316
6327,317
6328,318
6401,319
6402,320
6403,321
6404,322
6405,323
6501,324
6502,325
6504,326
6505,327
6523,328
6527,329
6528,330
6529,331
6530,332
6531,333
6532,334
6540,335
6542,336
6543,337
6590,338
