from,to,hundredth,thousandth
1101,90,18,2
1101,1101,112522,11252
1101,1201,273,27
1101,1301,196,20
1101,1302,224,22
1101,1303,62,6
1101,1304,245,25
1101,1305,129,13
1101,1306,919,92
1101,1307,630,63
1101,1308,558,56
1101,1309,266,27
1101,1310,228,23
1101,1311,250,25
1101,1401,87,9
1101,1402,76,8
1101,1403,24,2
1101,1404,44,4
1101,1405,9,1
1101,1406,13,1
1101,1407,62,6
1101,1408,84,8
1101,1409,60,6
1101,1410,88,9
1101,1411,84,8
1101,1501,85,9
1101,1502,46,5
1101,1503,20,2
1101,1504,155,15
1101,1505,36,4
1101,1506,11,1
1101,1507,57,6
1101,1508,22,2
1101,1509,79,8
1101,1522,11,1
1101,1525,71,7
1101,1529,4,0
1101,2101,107,11
1101,2102,50,5
1101,2103,36,4
1101,2104,42,4
1101,2105,18,2
1101,2106,31,3
1101,2107,43,4
1101,2108,32,3
1101,2109,8,1
1101,2110,12,1
1101,2111,9,1
1101,2112,28,3
1101,2113,61,6
1101,2114,38,4
1101,2201,147,15
1101,2202,93,9
1101,2203,31,3
1101,2204,26,3
1101,2205,49,5
1101,2206,12,1
1101,2207,24,2
1101,2208,27,3
1101,2224,43,4
1101,2301,182,18
1101,2302,95,9
1101,2303,49,5
1101,2304,18,2
1101,2305,28,3
1101,2306,47,5
1101,2307,31,3
1101,2308,66,7
1101,2309,15,2
1101,2310,53,5
1101,2311,16,2
1101,2312,73,7
1101,2327,14,1
1101,3101,66,7
1101,3201,68,7
1101,3202,35,4
1101,3203,119,12
1101,3204,74,7
1101,3205,53,5
1101,3206,252,25
1101,3207,23,2
1101,3208,74,7
1101,3209,104,10
1101,3210,87,9
1101,3211,30,3
1101,3212,84,8
1101,3213,58,6
1101,3301,36,4
1101,3302,71,7
1101,3303,205,20
1101,3304,13,1
1101,3305,8,1
1101,3306,30,3
1101,3307,47,5
1101,3308,19,2
1101,3309,7,1
1101,3310,117,12
1101,3311,32,3
1101,3401,217,22
1101,3402,292,29
1101,3403,37,4
1101,3404,33,3
1101,3405,179,18
1101,3406,21,2
1101,3407,29,3
1101,3408,174,17
1101,3410,7,1
1101,3411,35,4
1101,3412,268,27
1101,3413,53,5
1101,3415,73,7
1101,3416,47,5
1101,3417,20,2
1101,3418,12,1
1101,3501,70,7
1101,3502,15,2
1101,3503,124,12
1101,3504,22,2
1101,3505,35,4
1101,3506,16,2
1101,3507,19,2
1101,3508,42,4
1101,3509,26,3
1101,3601,137,14
1101,3602,8,1
1101,3603,15,2
1101,3604,66,7
1101,3605,4,0
1101,3606,11,1
1101,3607,31,3
1101,3608,38,4
1101,3609,35,4
1101,3610,30,3
1101,3611,44,4
1101,3701,122,12
1101,3702,97,10
1101,3703,41,4
1101,3704,18,2
1101,3705,18,2
1101,3706,104,10
1101,3707,61,6
1101,3708,111,11
1101,3709,136,14
1101,3710,22,2
1101,3711,24,2
1101,3713,100,10
1101,3714,209,21
1101,3715,148,15
1101,3716,36,4
1101,3717,216,22
1101,4101,123,12
1101,4102,78,8
1101,4103,94,9
1101,4104,69,7
1101,4105,111,11
1101,4106,24,2
1101,4107,75,8
1101,4108,35,4
1101,4109,74,7
1101,4110,54,5
1101,4111,35,4
1101,4112,9,1
1101,4113,221,22
1101,4114,127,13
1101,4115,643,64
1101,4116,272,27
1101,4117,276,28
1101,4201,114,11
1101,4202,15,2
1101,4203,43,4
1101,4205,61,6
1101,4206,59,6
1101,4207,13,1
1101,4208,36,4
1101,4209,138,14
1101,4210,69,7
1101,4211,102,10
1101,4212,14,1
1101,4213,49,5
1101,4228,10,1
1101,4290,92,9
1101,4301,66,7
1101,4302,33,3
1101,4303,21,2
1101,4304,38,4
1101,4305,33,3
1101,4306,30,3
1101,4307,45,5
1101,4308,12,1
1101,4309,26,3
1101,4310,12,1
1101,4311,14,1
1101,4312,22,2
1101,4313,16,2
1101,4331,4,0
1101,4401,43,4
1101,4402,8,1
1101,4403,28,3
1101,4404,11,1
1101,4405,22,2
1101,4406,10,1
1101,4407,10,1
1101,4408,14,1
1101,4409,4,0
1101,4412,5,1
1101,4413,8,1
1101,4414,7,1
1101,4415,5,1
1101,4416,5,1
1101,4417,5,1
1101,4418,7,1
1101,4419,5,1
1101,4420,6,1
1101,4451,3,0
1101,4452,11,1
1101,4453,2,0
1101,4501,18,2
1101,4502,18,2
1101,4503,18,2
1101,4504,4,0
1101,4505,5,1
1101,4506,0,0
1101,4507,0,0
1101,4508,2,0
1101,4509,11,1
1101,4510,0,0
1101,4511,7,1
1101,4512,3,0
1101,4513,1,0
1101,4514,1,0
1101,4601,3,0
1101,4602,0,0
1101,4690,16,2
1101,5000,272,27
1101,5101,127,13
1101,5103,49,5
1101,5104,3,0
1101,5105,47,5
1101,5106,23,2
1101,5107,79,8
1101,5108,129,13
1101,5109,25,2
1101,5110,39,4
1101,5111,41,4
1101,5113,189,19
1101,5114,31,3
1101,5115,77,8
1101,5116,24,2
1101,5117,72,7
1101,5118,5,1
1101,5119,123,12
1101,5120,30,3
1101,5132,2,0
1101,5133,3,0
1101,5134,4,0
1101,5201,28,3
1101,5202,4,0
1101,5203,29,3
1101,5204,7,1
1101,5205,14,1
1101,5206,13,1
1101,5223,5,1
1101,5226,6,1
1101,5227,11,1
1101,5301,32,3
1101,5303,3,0
1101,5304,4,0
1101,5305,2,0
1101,5306,12,1
1101,5307,2,0
1101,5308,1,0
1101,5309,1,0
1101,5323,1,0
1101,5325,10,1
1101,5326,2,0
1101,5328,1,0
1101,5329,5,1
1101,5331,3,0
1101,5333,0,0
1101,5334,0,0
1101,5401,7,1
1101,5402,3,0
1101,5403,2,0
1101,5404,1,0
1101,5405,3,0
1101,5406,0,0
1101,5425,1,0
1101,6101,121,12
1101,6102,6,1
1101,6103,43,4
1101,6104,24,2
1101,6105,70,7
1101,6106,20,2
1101,6107,61,6
1101,6108,24,2
1101,6109,50,5
1101,6110,19,2
1101,6201,64,6
1101,6202,1,0
1101,6203,2,0
1101,6204,10,1
1101,6205,42,4
1101,6206,4,0
1101,6207,10,1
1101,6208,44,4
1101,6209,9,1
1101,6210,28,3
1101,6211,20,2
1101,6212,32,3
1101,6229,5,1
1101,6230,1,0
1101,6301,41,4
1101,6302,9,1
1101,6322,1,0
1101,6323,0,0
1101,6325,0,0
1101,6326,0,0
1101,6327,0,0
1101,6328,10,1
1101,6401,25,2
1101,6402,6,1
1101,6403,3,0
1101,6404,0,0
1101,6405,15,2
1101,6501,57,6
1101,6502,10,1
1101,6504,1,0
1101,6505,2,0
1101,6523,9,1
1101,6527,0,0
1101,6528,9,1
1101,6529,3,0
1101,6530,1,0
1101,6531,13,1
1101,6532,2,0
1101,6540,10,1
1101,6542,3,0
1101,6543,2,0
1101,6590,8,1
1201,90,0,0
1201,1101,76,8
1201,1201,89645,8965
1201,1301,93,9
1201,1302,135,13
1201,1303,44,4
1201,1304,80,8
1201,1305,46,5
1201,1306,93,9
1201,1307,46,5
1201,1308,78,8
1201,1309,343,34
1201,1310,90,9
1201,1311,89,9
1201,1401,33,3
1201,1402,21,2
1201,1403,7,1
1201,1404,11,1
1201,1405,9,1
1201,1406,9,1
1201,1407,19,2
1201,1408,22,2
1201,1409,11,1
1201,1410,20,2
1201,1411,6,1
1201,1501,21,2
1201,1502,32,3
1201,1503,6,1
1201,1504,60,6
1201,1505,12,1
1201,1506,8,1
1201,1507,15,2
1201,1508,10,1
1201,1509,11,1
1201,1522,7,1
1201,1525,8,1
1201,1529,1,0
1201,2101,15,2
1201,2102,14,1
1201,2103,4,0
1201,2104,17,2
1201,2105,17,2
1201,2106,9,1
1201,2107,17,2
1201,2108,3,0
1201,2109,4,0
1201,2110,3,0
1201,2111,2,0
1201,2112,12,1
1201,2113,17,2
1201,2114,8,1
1201,2201,35,3
1201,2202,50,5
1201,2203,10,1
1201,2204,10,1
1201,2205,22,2
1201,2206,6,1
1201,2207,14,1
1201,2208,5,1
1201,2224,18,2
1201,2301,66,7
1201,2302,125,12
1201,2303,5,1
1201,2304,3,0
1201,2305,8,1
1201,2306,8,1
1201,2307,11,1
1201,2308,19,2
1201,2309,5,1
1201,2310,14,1
1201,2311,16,2
1201,2312,74,7
1201,2327,4,0
1201,3101,8,1
1201,3201,13,1
1201,3202,10,1
1201,3203,22,2
1201,3204,10,1
1201,3205,20,2
1201,3206,35,3
1201,3207,16,2
1201,3208,7,1
1201,3209,17,2
1201,3210,10,1
1201,3211,12,1
1201,3212,14,1
1201,3213,5,1
1201,3301,8,1
1201,3302,5,1
1201,3303,66,7
1201,3304,1,0
1201,3305,1,0
1201,3306,10,1
1201,3307,11,1
1201,3308,0,0
1201,3309,2,0
1201,3310,26,3
1201,3311,1,0
1201,3401,31,3
1201,3402,62,6
1201,3403,4,0
1201,3404,6,1
1201,3405,10,1
1201,3406,2,0
1201,3407,0,0
1201,3408,65,7
1201,3410,1,0
1201,3411,5,1
1201,3412,132,13
1201,3413,6,1
1201,3415,21,2
1201,3416,33,3
